,name,birth_country
0,Henri Salvador,FR
1,Joseph Williams,US
2,Fabien Nataf,FR
3,Laura Mayne,FR
4,Chorus,PL
5,Leopold Stokowski,GB
6,Randy Newman,US
7,Richard M. Sherman,US
8,Michel Roux,FR
9,Bernard Minet,FR
10,Amalya,
11,Dorothée,FR
12,Jean Piat,FR
13,Larry Groce,US
14,Patrick Rocca,
15,Ken Page,US
16,Debbie Davis,FR
17,Claire Guyot,FR
18,Chantal Goya,FR
19,Justin Hurwitz,
20,Marie Ruggieri,
21,Karine Costa,FR
22,Pascal Laffarge,FR
23,Frank Churchill,US
24,Dominique Tirmont,FR
25,Larry Morey,US
26,China Moses,FR
27,Mary J. Blige,US
28,Rihanna,
29,Yung Bleu,US
30,Surfaces,US
31,Frank Ocean,
32,Layton Greene,US
33,Usher,US
34,Mariah Carey,US
35,Beyoncé,US
36,Jason Derulo,US
37,TWENTY88,US
38,Big Sean,
39,Christina Aguilera,US
40,Tierra Whack,US
41,Jessie Reyez,CA
42,6LACK,US
43,SZA,US
44,Kyle Dion,
45,Roy Woods,
46,Tove Lo,SE
47,James Blake,GB
48,Joji,
49,Jennifer Lopez,US
50,TLC,US
51,PARTYNEXTDOOR,CA
52,MIKExANGEL,
53,Nick Jonas,US
54,Tory Lanez,CA
55,Chris Brown,US
56,Alina Baraz,US
57,Dreezy,US
58,PJ Morton,US
59,Tom Misch,
60,Jeremih,US
61,Dijon,
62,Yuna,MY
63,Keri Hilson,US
64,Steve Lacy,US
65,The Japanese House,
66,The Weeknd,CA
67,City Girls,
68,Brent Faiyaz,US
69,Jacquees,
70,JP Saxe,CA
71,Chingy,
72,Wale,US
73,Kiana Ledé,
74,Iggy Azalea,US
75,Kelly Clarkson,US
76,Nina Sky,US
77,Fifth Harmony,US
78,DJ Khaled,US
79,Demi Lovato,US
80,Adrian Marcel,
81,Mario,US
82,Ari Lennox,US
83,GoldLink,US
84,Raveena,US
85,Trevor Daniel,US
86,Tinashe,
87,Peter CottonTale,
88,DaniLeigh,US
89,Ty Dolla $ign,US
90,Snoh Aalegra,SE
91,Zara Larsson,SE
92,Jarreau Vandal,NL
93,Trey Songz,US
94,Sabrina Claudio,US
95,Daniel Caesar,
96,Sevyn Streeter,US
97,John Legend,US
98,Labrinth,GB
99,Yo Trane,
100,Twista,US
101,Ravyn Lenae,
102,Monica,US
103,August Alsina,US
104,Doja Cat,US
105,Arin Ray,US
106,HONNE,GB
107,Madison Beer,US
108,Bryson Tiller,US
109,Ellie Goulding,
110,Summer Walker,US
111,Ama Lou,GB
112,Charli XCX,GB
113,Ella Mai,
114,Jorja Smith,GB
115,Tobi Lou,
116,Tobi Lou,
117,Jodi Benson,US
118,Anthony Kavanagh,CA
119,Marie-Thérèse Orain,FR
120,Oliver Wallace,US
121,Joy Esther,FR
122,Anika Noni Rose,US
123,Daniel Lavoie,CA
124,George Bruns,US
125,The Singers Unlimited,US
126,Peter Hollens,US
127,BYU Noteworthy,
128,The Swingle Singers,FR
129,Tonic Sol-Fa,US
130,Oliver Tree,
131,88-Keys,US
132,Smash Mouth,US
133,Gorillaz,GB
134,Nirvana,US
135,Red Hot Chili Peppers,US
136,Grouplove,US
137,The Neighbourhood,US
138,Cam,
139,Kevin Fowler,US
140,Roger Miller,US
141,M. Ward,US
142,M. Ward,US
143,Chris Cagle,US
144,Cassadee Pope,US
145,Mark Chesnutt,US
146,Gary Allan,US
147,"Hank Williams, Jr.",US
148,Ryan Adams,US
149,Jason Aldean,US
150,Adam Sanders,US
151,Linda Ronstadt,US
152,The Reklaws,
153,Pistol Annies,US
154,Carrie Underwood,US
155,Colter Wall,
156,Bobby Bare,US
157,Chris Lane,
158,Holly Dunn,US
159,Brooks & Dunn,US
160,Blake Shelton,US
161,Miranda Lambert,US
162,Sonny Bama,
163,America,US
164,Gone West,US
165,Morgan Wallen,US
166,Jamey Johnson,US
167,Dolly Parton,US
168,Anne Murray,CA
169,Conway Twitty,US
170,Merle Haggard,US
171,Gillian Welch,US
172,Cal Smith,US
173,Brad Paisley,US
174,Ryan Bingham,US
175,Casey Donahew,
176,Sam Hunt,
177,Mitchell Tenpenny,US
178,Sturgill Simpson,
179,Travis Tritt,US
180,Travis Tritt,US
181,Josh Ward,US
182,Luke Bryan,US
183,"Crosby, Stills & Nash",US
184,Keith Urban,AU
185,Dr. Hook,US
186,Tim McGraw,US
187,The Lacs,US
188,Chase Rice,US
189,Eli Young Band,US
190,Kip Moore,US
191,Lee Brice,US
192,Alabama,US
193,Jelly Roll,
194,Justin Moore,US
195,Jake Owen,US
196,Little Big Town,US
197,Tyler Farr,US
198,Dead Man Winter,
199,Chris Janson,US
200,Jim James,US
201,Stephanie Quayle,
202,Trace Adkins,US
203,Vern Gosdin,US
204,Kelsea Ballerini,US
205,LeAnn Rimes,US
206,Montgomery Gentry,US
207,Josh Abbott Band,
208,Demun Jones,
209,Fred Eaglesmith,CA
210,Dwight Yoakam,US
211,Darius Rucker,US
212,Zac Brown Band,US
213,Tanya Tucker,US
214,Kristian Bush,US
215,Aaron Lewis,US
216,Turnpike Troubadours,US
217,Sunny Sweeney,US
218,George Jones,US
219,King Calaway,US
220,Todd Rundgren,US
221,Clint Black,US
222,Phil Vassar,US
223,Willie Nelson,US
224,Willie Nelson,US
225,Craig Morgan,US
226,Lorrie Morgan,US
227,A Thousand Horses,US
228,David Allan Coe,US
229,Cole Swindell,US
230,Upchurch,
231,Jimmie Allen,US
232,Chris Smither,US
233,Dylan Scott,US
234,Haley & Michaels,
235,Kenny Chesney,US
236,Thomas Rhett,US
237,Nick Wayne,
238,Big & Rich,US
239,Blackfoot,US
240,Martina McBride,US
241,The Avett Brothers,US
242,Big Smo,US
243,Buck Owens,US
244,Toby Keith,US
245,Terri Clark,CA
246,John Prine,
247,Whiskey Myers,US
248,David Frizzell,US
249,John Michael Montgomery,US
250,Catherine McGrath,
251,Nick Lowe,GB
252,Chris Young,US
253,Tenille Arts,
254,Bubba Sparxxx,US
255,Mark Wills,US
256,George Strait,US
257,Lynyrd Skynyrd,US
258,Randy Houser,US
259,Hunter Hayes,US
260,Devin Dawson,US
261,Tracy Lawrence,US
262,Johnny Cash,US
263,Johnny Cash,US
264,Sammy Kershaw,US
265,Dave Rawlings Machine,US
266,Dierks Bentley,US
267,The Judds,US
268,Emily Hackett,US
269,Little Feat,US
270,Michael Martin Murphey,US
271,Scotty McCreery,US
272,Kyle Park,
273,Dylan Schneider,US
274,Langhorne Slim,US
275,Little Texas,US
276,Chris LeDoux,US
277,David Lee Murphy,US
278,William Michael Morgan,US
279,The Band Perry,US
280,Bart Crow,
281,Don Gibson,US
282,Filmore,
283,Rascal Flatts,US
284,The Ozark Mountain Daredevils,US
285,Justin Tyler,
286,38 Special,US
287,38 Special,US
288,Sam Riggs,
289,Dawes,US
290,Mike Ryan,
291,Alan Jackson,US
292,Adam Craig,
293,The Oak Ridge Boys,US
294,Jon Langston,US
295,Gary Stewart,US
296,Granger Smith,
297,Guy Clark,US
298,Clay Walker,US
299,Adam Calhoun,
300,Restless Heart,US
301,Waylon Jennings,US
302,JB and The Moonshine Band,US
303,Robert Earl Keen,US
304,Matt Mason,US
305,Kellie Pickler,US
306,Reba McEntire,US
307,Josh Turner,US
308,Mickey Guyton,
309,Jameson Rodgers,
310,Brett Eldredge,US
311,Rittz,US
312,Kacey Musgraves,US
313,High Valley,CA
314,Brothers Osborne,US
315,Bottleneck,
316,American Aquarium,US
317,Riley Green,US
318,Loretta Lynn,US
319,Randy Rogers Band,US
320,Canaan Smith,US
321,Smithfield,US
322,Billy Currington,US
323,Dustin Lynch,US
324,Danielle Bradbery,US
325,Daryle Singletary,US
326,Jefferson Starship,US
327,Chuck Wicks,US
328,Jon Wolfe,
329,Buddy Jewell,US
330,JT Hodges,US
331,Marty Robbins,US
332,Marty Robbins,US
333,Seth Ennis,
334,Julianne Hough,US
335,Matthew Sweet,US
336,Freddy Fender,US
337,Steve Earle,US
338,Trisha Yearwood,US
339,Corey Smith,
340,Mel McDaniel,US
341,Josh Dorr,
342,The Guess Who,CA
343,Jason Isbell and the 400 Unit,US
344,Aaron Watson,US
345,Lefty Frizzell,US
346,Dallas Smith,
347,Blackberry Smoke,US
348,Tyler Reeve,US
349,Walker Hayes,US
350,Eddie Money,US
351,Kenny Rogers,US
352,Taj Mahal,US
353,The Highwaymen,US
354,William Clark Green,
355,Shenandoah,US
356,Russell Dickerson,
357,Buddy Brown,
358,Jojo Mason,
359,Linkin Park,US
360,Kid Rock,US
361,Still Woozy,
362,Third Eye Blind,US
363,Evanescence,US
364,Foo Fighters,US
365,Blind Melon,US
366,Soundgarden,US
367,3 Doors Down,US
368,The White Stripes,US
369,MGMT,US
370,The 1975,GB
371,Skillet,US
372,X Ambassadors,US
373,grandson,CA
374,Masego,
375,Weezer,US
376,Slipknot,US
377,Semisonic,US
378,Papa Roach,US
379,Avenged Sevenfold,US
380,Counting Crows,US
381,Trapt,
382,Toploader,GB
383,Disturbed,US
384,Bad Wolves,US
385,Nickelback,CA
386,The Revivalists,US
387,Radiohead,GB
388,Five Finger Death Punch,US
389,The Offspring,US
390,Duckwrth,
391,Incubus,US
392,Marcy Playground,US
393,Seether,ZA
394,R.E.M.,US
395,Chevelle,US
396,Lit,US
397,Theory of a Deadman,CA
398,Rise Against,US
399,Breakbot,FR
