name,birth_country
Henri Salvador,FR
Martin & Les Fées,
Joseph Williams,US
Fabien Nataf,FR
Laura Mayne,FR
Chorus,PL
S Club 8,GB
Leopold Stokowski,GB
Randy Newman,US
La Musique,
Richard M. Sherman,US
Michel Roux,FR
Jean-Claude Corbel,
Bernard Minet,FR
Amalya,
Dorothée,FR
Jean Piat,FR
Lucie Dolène,FR
Larry Groce,US
Patrick Rocca,
Ken Page,US
Debbie Davis,FR
Claire Guyot,FR
Chantal Goya,FR
Justin Hurwitz,
Marie Ruggieri,
Karine Costa,FR
Pascal Laffarge,FR
Frank Churchill,US
Dominique Tirmont,FR
Les Choeurs CEFA,
Les Schtroumpfs,
Larry Morey,US
Houcine Camara,
China Moses,FR
Mary J. Blige,US
Rihanna,
Yung Bleu,US
Surfaces,US
Olivia O’Brien,
Elhae,
nao,JP
Frank Ocean,
Layton Greene,US
Usher,US
Mariah Carey,US
Beyoncé,US
Jason Derulo,US
TWENTY88,US
Big Sean,
Christina Aguilera,US
Tierra Whack,US
Jessie Reyez,CA
6LACK,US
SZA,US
Kyle Dion,
Roy Woods,
Tove Lo,SE
James Blake,GB
Joji,
Jennifer Lopez,US
Luis Miguel,MX
TLC,US
PARTYNEXTDOOR,CA
MIKExANGEL,
Nick Jonas,US
Tory Lanez,CA
Chris Brown,US
Alina Baraz,US
Dreezy,US
T‐Pain,US
PJ Morton,US
Tom Misch,
Jeremih,US
Dijon,
Yuna,MY
Keri Hilson,US
Steve Lacy,US
The Japanese House,
The Weeknd,CA
Her,FR
City Girls,
Brent Faiyaz,US
Jacquees,
JP Saxe,CA
Chingy,
Wale,US
Kiana Ledé,
Iggy Azalea,US
Kelly Clarkson,US
Nina Sky,US
Fifth Harmony,US
DJ Khaled,US
Demi Lovato,US
Adrian Marcel,
Mario,US
Jagged Edge UK,GB
Ari Lennox,US
Black Party,
GoldLink,US
Raveena,US
Trevor Daniel,US
Tinashe,
Peter CottonTale,
DaniLeigh,US
Ty Dolla $ign,US
Snoh Aalegra,SE
Zara Larsson,SE
Jarreau Vandal,NL
THE CARTERS,US
Trey Songz,US
BJ the Chicago Kid,US
Sabrina Claudio,US
Daniel Caesar,
Sevyn Streeter,US
orion sun,
John Legend,US
Labrinth,GB
Yo Trane,
Twista,US
Ravyn Lenae,
Monica,US
Ne‐Yo,US
August Alsina,US
Doja Cat,US
Arin Ray,US
HONNE,GB
Madison Beer,US
Bryson Tiller,US
Ellie Goulding,
Summer Walker,US
Ama Lou,GB
Charli XCX,GB
Ella Mai,
AnnMarie Sandy,
Jorja Smith,GB
Tobi Lou,
Languedoc,
Jodi Benson,US
Generation,
Anthony Kavanagh,CA
Marie-Thérèse Orain,FR
Oliver Wallace,US
Jean-Michel Davy,FR
Amadou & Mariam,ML
François Le Roux,FR
Joy Esther,FR
Anika Noni Rose,US
Daniel Lavoie,CA
George Bruns,US
MC6,US
The Singers Unlimited,US
GLAD,US
Peter Hollens,US
BYU Noteworthy,
The King’s Singers,GB
The Hyannis Sound,
The Swingle Singers,FR
The Spartones,
Tonic Sol-Fa,US
Oliver Tree,
88-Keys,US
Smash Mouth,US
Jhené Aiko,US
Gorillaz,GB
Nirvana,US
Red Hot Chili Peppers,US
Grouplove,US
The Neighbourhood,US
Cam,
Kevin Fowler,US
Roger Miller,US
M. Ward,US
Chris Cagle,US
Cassadee Pope,US
Mark Chesnutt,US
Gary Allan,US
"Hank Williams, Jr.",US
Ryan Adams,US
Jason Aldean,US
Adam Sanders,US
Linda Ronstadt,US
Tommy Dorsey,US
The Reklaws,
